"Start Time,""Period (min)"",""NE Name"",""FEGE"",""VS.FEGE.RXMEANSPEED (kbit/s)"",""VS.FEGE.TXMEANSPEED (kbit/s)"""
"04/19/2018 08:30:00,30,KTPHR07,""PN=1, SN=22, SRN=0"",5.035,0.256"
"04/19/2018 08:30:00,30,KTPHR07,""PN=1, SN=23, SRN=0"",557619.255,72963.411"
"04/19/2018 08:30:00,30,KTPHR07,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 08:30:00,30,KTPHR07,""PN=0, SN=19, SRN=0"",1.133,1.023"
"04/19/2018 08:30:00,30,KTPHR07,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 09:00:00,30,KTPHR04,""PN=1, SN=23, SRN=0"",5.035,0.256"
"04/19/2018 09:00:00,30,KTPHR04,""PN=0, SN=23, SRN=0"",5.336,0.261"
"04/19/2018 09:00:00,30,KTPHR04,""PN=0, SN=18, SRN=0"",156946.76,483496.825"
"04/19/2018 09:00:00,30,KTPHR04,""PN=1, SN=22, SRN=0"",377838.036,49314.93"
"04/19/2018 09:00:00,30,KTPHR04,""PN=0, SN=22, SRN=0"",28235.046,26145.53"
"04/19/2018 09:00:00,30,KTPHR04,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 09:00:00,30,KTPHR04,""PN=0, SN=19, SRN=0"",1.024,1.023"
"04/19/2018 09:00:00,30,KTPHR04,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 09:00:00,30,KTPHR05,""PN=1, SN=22, SRN=0"",5.035,0.256"
"04/19/2018 09:00:00,30,KTPHR05,""PN=0, SN=22, SRN=0"",5.336,0.261"
"04/19/2018 09:00:00,30,KTPHR05,""PN=0, SN=18, SRN=0"",335409.623,1046612.315"
"04/19/2018 09:00:00,30,KTPHR05,""PN=1, SN=23, SRN=0"",840754.741,112737.769"
"04/19/2018 09:00:00,30,KTPHR05,""PN=0, SN=23, SRN=0"",60818.104,57006.874"
"04/19/2018 09:00:00,30,KTPHR05,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 09:00:00,30,KTPHR05,""PN=0, SN=19, SRN=0"",1.023,1.023"
